"window_days","index","n","delta_AIC","p_value"
180,"e_e_ave",248,5.47114504444198,0.915585645763315
365,"e_e_ave",248,5.47114504444198,0.915585645763315
730,"e_e_ave",248,5.47114504444198,0.915585645763315
180,"e_e_lat",251,5.9481533374942,0.997026726404868
365,"e_e_lat",251,5.9481533374942,0.997026726404868
730,"e_e_lat",251,5.9481533374942,0.997026726404868
180,"e_e_med",251,5.06723592701064,0.823350722709527
365,"e_e_med",251,5.06723592701064,0.823350722709527
730,"e_e_med",251,5.06723592701064,0.823350722709527
180,"mv_a_dur",70,0.834248810590339,0.196320264487548
365,"mv_a_dur",70,0.834248810590339,0.196320264487548
730,"mv_a_dur",70,0.834248810590339,0.196320264487548
180,"mv_a_point",299,3.51477520316621,0.487855139412437
365,"mv_a_point",299,3.51477520316621,0.487855139412437
730,"mv_a_point",299,3.51477520316621,0.487855139412437
180,"mv_dec_time",241,4.00874511404209,0.58547145566387
365,"mv_dec_time",241,4.00874511404209,0.58547145566387
730,"mv_dec_time",241,4.00874511404209,0.58547145566387
180,"mv_e_a",298,5.63627061727993,0.949214954842004
365,"mv_e_a",298,5.63627061727993,0.949214954842004
730,"mv_e_a",298,5.63627061727993,0.949214954842004
180,"tr_max_vel",209,4.17629615215264,0.622148076250507
365,"tr_max_vel",209,4.17629615215264,0.622148076250507
730,"tr_max_vel",209,4.17629615215264,0.622148076250507
180,"la_vol_index",243,1.77656032935784,0.249782995825577
365,"la_vol_index",243,1.77656032935784,0.249782995825577
730,"la_vol_index",243,1.77656032935784,0.249782995825577
180,"med_peak_e_vel",258,4.30383722211991,0.647338133613284
365,"med_peak_e_vel",258,4.30383722211991,0.647338133613284
730,"med_peak_e_vel",258,4.30383722211991,0.647338133613284
180,"lat_peak_e_vel",258,3.48100884601399,0.483383978804704
365,"lat_peak_e_vel",258,3.48100884601399,0.483383978804704
730,"lat_peak_e_vel",258,3.48100884601399,0.483383978804704
180,"e_prime_ave",261,3.63652573350055,0.511639674317151
365,"e_prime_ave",261,3.63652573350055,0.511639674317151
730,"e_prime_ave",261,3.63652573350055,0.511639674317151
