"index","label","n","delta_AIC","F_stat","p_value","R2_base","R2_full"
"mv_a_dur","MV A dur",255,-13.3548681112597,6.51878256467647,0.000292071946511354,0.210138646483004,0.267871544216829
"la_vol_index","LAVI",767,-7.59125516734548,4.52908086758513,0.00371245319844943,0.160824003931122,0.17556324369241
"mv_dec_time","MV decel time",821,-7.02432803141073,4.33875065796827,0.00481015650351143,0.191373642169618,0.204100459086623
"tr_max_vel","TR Vmax",744,-4.73161322757005,3.56922767964436,0.0138543983501379,0.175010189704813,0.186824605417501
"med_peak_e_vel","Med E vel",863,0.532736526249209,1.81337703611697,0.143127214709438,0.160424348747653,0.165726402196587
"lat_peak_e_vel","Lat E vel",863,0.626044915688908,1.7823321361441,0.148944870994563,0.163576949934054,0.168769225594481
"mv_a_point","MV A point",1029,2.47651455782943,1.16850483058643,0.320603010200158,0.189303088866197,0.192074317036343
"e_e_med","E/e' (med)",835,3.05928358397796,0.973734885649081,0.404469527039111,0.155973570593204,0.158940848263277
"mv_e_a","MV E/A",1023,4.38610984612933,0.534703970737257,0.658565822617001,0.188066021638758,0.189345923077218
"e_e_ave","E/e' (avg)",825,4.69368178015793,0.432086765500774,0.730077074507331,0.157370398575279,0.158703576022699
"e_e_lat","E/e' (lat)",835,5.09239097349018,0.300163212048058,0.825296651852165,0.159199717126073,0.160113134297689
