"outcome","mode","predictor_set_name","qc_variant","variable","knot","n_basis_terms","max_abs_coefficient","direction","ase_cutoff","ase_direction","outcome_label","var_label","delta_vs_ase"
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case","e_e_ave",11.21,1,1.877,"positive",14,">","Peak VO₂ (% Predicted)","E/e' (average)",-2.79
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case","la_vol_index",33.81,1,10.882,"positive",34,">","Peak VO₂ (% Predicted)","LAVI",-0.19
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case","lv_septal_thickness",1.54,1,6.333,"positive",NA,NA,"Peak VO₂ (% Predicted)","LV septal thickness",NA
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case","med_peak_e_vel",5.64,1,7.606,"negative",NA,NA,"Peak VO₂ (% Predicted)","Medial septal e'",NA
"VO2_FRIEND2_PP","additive","heart_bmi_primary","complete_case","tr_max_vel",233.47,1,25.364,"negative",280,">","Peak VO₂ (% Predicted)","TR Vmax",-46.53
"VeVco2_slope","mars","heart_bmi_primary","complete_case","la_vol_index",33.81,1,6.7,"positive",34,">","VE/VCO₂ Slope","LAVI",-0.19
"VeVco2_slope","additive","heart_bmi_primary","complete_case","e_e_ave",11.21,1,1.473,"positive",14,">","VE/VCO₂ Slope","E/e' (average)",-2.79
"VeVco2_slope","additive","heart_bmi_primary","complete_case","la_vol_index",33.81,1,6.73,"positive",34,">","VE/VCO₂ Slope","LAVI",-0.19
"VeVco2_slope","additive","heart_bmi_primary","complete_case","lv_septal_thickness",1.54,1,0.197,"positive",NA,NA,"VE/VCO₂ Slope","LV septal thickness",NA
"VeVco2_slope","additive","heart_bmi_primary","complete_case","med_peak_e_vel",5.64,1,3.654,"negative",NA,NA,"VE/VCO₂ Slope","Medial septal e'",NA
"VeVco2_slope","additive","heart_bmi_primary","complete_case","tr_max_vel",233.47,1,0.755,"negative",280,">","VE/VCO₂ Slope","TR Vmax",-46.53
"VeVco2_slope","mars","heart_lbmi_sensitivity","lbmi_sensitivity","la_vol_index",33.81,1,6.594,"positive",34,">","VE/VCO₂ Slope","LAVI",-0.19
"VeVco2_slope","mars","heart_binary_lvot_sensitivity","binary_lvot_sensitivity","la_vol_index",32.24,1,5.297,"positive",34,">","VE/VCO₂ Slope","LAVI",-1.76
"VeVco2_slope","mars","heart_bmi_imputed","imputed_predictors","la_vol_index",32.22,1,4.661,"positive",34,">","VE/VCO₂ Slope","LAVI",-1.78
"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","e_e_ave",14,1,1.037,"positive",14,">","VE/VCO₂ Slope","E/e' (average)",0
"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","la_vol_index",34,1,7.296,"positive",34,">","VE/VCO₂ Slope","LAVI",0
"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","med_peak_e_vel",6.5,1,2.858,"negative",NA,NA,"VE/VCO₂ Slope","Medial septal e'",NA
"VeVco2_slope","mars","heart_bmi_clinical_knots","clinical_knot_sensitivity","tr_max_vel",280,1,5.519,"negative",280,">","VE/VCO₂ Slope","TR Vmax",0
